[ 2013-01-28T00:09:56+08:00 ] /thinkmao/Index.php | INFO: Tag[ app_begin ] --START--
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 102 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 101 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 100 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 99 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 98 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 97 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 96 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 95 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 94 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 93 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 92 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 91 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 90 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 89 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 110 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 111 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 0 common.php 第 160 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 0 common.php 第 160 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | SQL: SELECT goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = 10 )  [ RunTime:0.001200s ]
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 109 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 108 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 107 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 106 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 105 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 104 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 103 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 102 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 101 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 100 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 99 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 98 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 97 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 96 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 95 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 94 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 93 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 92 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 91 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 90 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 89 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 110 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 111 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | SQL: SELECT goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = 10 )  [ RunTime:0.001639s ]
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 109 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 108 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 107 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 106 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 105 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 104 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 103 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 102 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 101 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 100 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 99 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 98 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 97 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 96 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 95 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 94 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 93 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 92 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 91 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 90 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 89 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 110 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 111 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | SQL: SELECT goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = 10 )  [ RunTime:0.002720s ]
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 109 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 108 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 107 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 106 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 105 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 104 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 103 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 102 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 101 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 100 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 99 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 98 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 97 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 96 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 95 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 94 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 93 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 92 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 91 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 90 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 89 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 110 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 111 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 83 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 112 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 113 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 114 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 115 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 116 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 117 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 118 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 119 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 120 common.php 第 136 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = 10 )  [ RunTime:0.000484s ]
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | SQL: SELECT goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = 10 )  [ RunTime:0.001301s ]
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 109 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 108 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 107 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 106 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 105 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 104 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 103 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 102 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 101 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 100 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 99 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 98 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 97 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 96 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 95 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 94 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 93 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 92 common.php 第 74 行.
[ 2013-01-28T00:12:22+08:00 ] /thinkmao/Index.php | NOTIC: [8] Undefined offset: 91 common.php 第 74 行.
